# all in microns
index,single_lens_radius,number_of_lenses,distance
1,100,16,-94250
2,100,8,-57250
3,200,8,-25250
4,200,4,1750
5,200,2,26750
6,200,1,50250
7,500,1,63250
8,1000,1,94250
