# all in microns, updated on 03/17/25 based on 3d rendering and instrument check
index,single_lens_radius,number_of_lenses,distance
1,1000,1,94250
2,500,1,71250
3,200,1,48250
4,200,2,25250
5,200,4,2250
6,200,8,-24250
7,100,8,-51250
8,100,16,-87250
